countries,infected,infected_today,deaths,deaths_today,recovered,recovered_today,active,critical,tests,death_rate,recovery_rate
Peru,40459,0,1124,0,11129,0,28206,658,342498,2.8,27.5
Netherlands,39891,0,4895,0,81,0,34915,735,225899,12.3,0.2
India,37336,79,1223,0,10007,0,26106,0,976363,3.3,26.8
Switzerland,29817,112,1754,0,23900,0,4163,167,276000,5.9,80.2
Ecuador,26336,0,1063,0,1913,0,23360,149,71950,4.0,7.3
Portugal,25351,0,1007,0,1647,0,22697,154,409961,4.0,6.5
Saudi Arabia,24097,0,169,0,3555,0,20373,117,326955,0.7,14.8
Sweden,21520,0,2653,0,1005,0,17862,531,119500,12.3,4.7
Ireland,20833,0,1265,0,13386,0,6182,123,153954,6.1,64.3
Mexico,20739,1515,1972,113,12377,954,6390,378,91188,9.5,59.7
Pakistan,18114,22,417,0,4715,364,12982,111,193859,2.3,26.0
Singapore,17548,447,16,0,1268,0,16264,23,143919,0.1,7.2
Chile,17008,0,234,0,9018,0,7756,392,189433,1.4,53.0
Israel,16152,51,227,2,9400,244,6525,107,364467,1.4,58.2
Belarus,15828,911,97,4,3117,199,12614,92,195430,0.6,19.7
Austria,15531,0,589,0,13110,0,1832,124,269619,3.8,84.4
Japan,14305,217,455,25,2975,515,10875,328,174150,3.2,20.8
Qatar,14096,0,12,0,1436,0,12648,72,97726,0.1,10.2
Poland,13105,0,651,0,3491,0,8963,160,354628,5.0,26.6
United Arab Emirates,13038,0,111,0,2543,0,10384,1,1200000,0.9,19.5
Romania,12567,0,755,11,4328,0,7484,249,183688,6.0,34.4
Ukraine,11411,550,279,7,1498,85,9634,151,122752,2.4,13.1
Indonesia,10843,292,831,31,1665,74,8347,0,102305,7.7,15.4
South Korea,10780,6,250,2,9123,51,1407,55,623069,2.3,84.6
Denmark,9498,0,460,0,6913,0,2125,61,206576,4.8,72.8
Serbia,9205,0,185,0,1379,0,7641,65,91551,2.0,15.0
Philippines,8928,156,603,24,1124,40,7201,31,115012,6.8,12.6
Bangladesh,8790,552,175,5,177,3,8438,1,76066,2.0,2.0
Norway,7783,0,210,0,32,0,7541,37,172586,2.7,0.4
Czechia,7740,3,241,1,3378,6,4121,67,253826,3.1,43.6
Dominican Republic,7288,0,313,0,1387,0,5588,144,25368,4.3,19.0
