countries,infected,infected_today,deaths,deaths_today,recovered,recovered_today,active,critical,tests,death_rate,recovery_rate
Uruguay,652,4,17,0,440,5,195,10,21164,2.6,67.5
Guatemala,644,45,16,0,72,6,556,5,7200,2.5,11.2
Congo (Kinshasa),604,0,32,0,75,0,497,0,0,5.3,12.4
Sudan,592,150,41,10,52,13,499,0,0,6.9,8.8
Georgia,582,16,8,1,207,0,367,6,15904,1.4,35.6
San Marino,580,0,41,0,83,1,456,5,2397,7.1,14.3
Mali,544,36,26,0,206,10,312,0,2172,4.8,37.9
Channel Islands,543,5,41,0,406,0,96,0,5342,7.6,74.8
Mayotte,539,0,4,0,235,0,300,4,3000,0.7,43.6
Maldives,519,28,1,0,18,1,500,2,8008,0.2,3.5
Tanzania,480,0,16,0,167,0,297,7,0,3.3,34.8
Malta,468,1,4,0,379,-4,85,1,35117,0.9,81.0
Jordan,460,1,9,1,367,3,84,5,82092,2.0,79.8
El Salvador,446,22,10,0,141,17,295,2,26961,2.2,31.6
Kenya,435,24,22,1,152,2,261,2,21702,5.1,34.9
Jamaica,432,10,8,0,31,2,393,1,4779,1.9,7.2
Taiwan,432,3,6,0,324,0,102,0,63713,1.4,75.0
Réunion,423,1,0,0,300,0,123,2,0,0.0,70.9
West Bank and Gaza,353,0,2,0,76,0,275,0,0,0.6,21.5
Palestine,353,0,2,0,76,0,275,0,32200,0.6,21.5
Venezuela,345,10,10,0,148,6,187,2,477790,2.9,42.9
Gabon,335,59,5,2,85,18,245,1,724,1.5,25.4
Paraguay,333,67,10,0,115,2,208,5,10342,3.0,34.5
Mauritius,332,0,10,0,314,2,8,3,16028,3.0,94.6
Montenegro,322,0,8,1,245,12,69,2,6864,2.5,76.1
Isle of Man,320,4,22,0,271,0,27,21,3242,6.9,84.7
Equatorial Guinea,315,0,1,0,9,0,305,0,854,0.3,2.9
Vietnam,270,0,0,0,219,0,51,8,261004,0.0,81.1
Guinea-Bissau,257,0,1,0,19,0,237,0,1500,0.4,7.4
Rwanda,255,6,0,0,120,11,135,0,33303,0.0,47.1
Congo (Brazzaville),229,0,9,0,25,0,195,0,0,3.9,10.9
Faroe Islands,187,0,0,0,184,0,3,0,8021,0.0,98.4
Martinique,179,0,14,0,83,0,82,5,0,7.8,46.4
Sierra Leone,155,19,8,1,21,0,126,0,0,5.2,13.5
Liberia,154,2,18,0,48,3,88,0,0,11.7,31.2
Cabo Verde,152,30,2,1,18,0,132,0,791,1.3,11.8
Guadeloupe,152,0,12,0,95,0,45,6,0,7.9,62.5
Myanmar,151,0,6,0,37,6,108,0,8281,4.0,24.5
Burma,151,0,6,0,37,6,108,0,0,4.0,24.5
Gibraltar,144,0,0,0,132,1,12,0,2711,0.0,91.7
Brunei,138,0,1,0,126,2,11,2,13924,0.7,91.3
Madagascar,135,3,0,0,97,3,38,1,3393,0.0,71.9
Ethiopia,133,0,3,0,69,3,61,0,20770,2.3,51.9
French Guiana,128,0,1,0,98,0,29,2,0,0.8,76.6
Togo,123,0,9,0,66,0,48,0,7100,7.3,53.7
Cambodia,122,0,0,0,120,1,2,1,12222,0.0,98.4
Zambia,119,10,3,0,75,1,41,1,5284,2.5,63.0
Chad,117,44,10,5,39,6,68,0,0,8.5,33.3
Trinidad and Tobago,116,0,8,0,88,7,20,0,1838,6.9,75.9
Bermuda,114,0,7,1,51,3,56,4,2819,6.1,44.7
Eswatini,108,2,1,0,12,0,95,0,714,0.9,11.1
Aruba,100,0,2,0,81,0,17,4,1731,2.0,81.0
Monaco,95,0,4,0,73,0,18,1,0,4.2,76.8
Benin,90,0,2,0,42,0,46,0,0,2.2,46.7
Uganda,88,3,0,0,52,0,36,0,36302,0.0,59.1
Haiti,85,4,8,0,10,2,67,0,848,9.4,11.8
Liechtenstein,82,0,1,0,55,0,26,0,900,1.2,67.1
Bahamas,82,1,11,0,24,-1,47,1,1313,13.4,29.3
Guyana,82,0,9,0,22,0,51,2,579,11.0,26.8
Barbados,81,0,7,0,44,5,30,4,2369,8.6,54.3
Mozambique,79,0,0,0,18,6,61,0,2337,0.0,22.8
Sint Maarten,76,0,13,0,44,0,19,7,329,17.1,57.9
Tajikistan,76,61,2,2,0,0,74,0,0,2.6,0.0
Cayman Islands,74,0,1,0,10,0,63,3,1927,1.4,13.5
CAR,72,0,0,0,10,0,62,0,0,0.0,13.9
Libya,63,0,3,0,22,4,38,0,2155,4.8,34.9
Nepal,59,0,0,0,16,0,43,0,61627,0.0,27.1
South Sudan,45,0,0,0,0,0,45,0,1247,0.0,0.0
Macau,45,0,0,0,37,0,8,1,0,0.0,82.2
Syria,44,0,3,0,27,0,14,0,0,6.8,61.4
Mongolia,39,1,0,0,10,0,29,0,8022,0.0,25.6
Eritrea,39,0,0,0,26,0,13,0,0,0.0,66.7
Malawi,38,1,3,0,9,0,26,1,831,7.9,23.7
Saint Martin,38,0,3,0,27,0,8,3,0,7.9,71.1
Angola,35,5,2,0,11,0,22,0,481,5.7,31.4
Zimbabwe,34,-6,4,0,5,0,25,0,7642,11.8,14.7
Antigua and Barbuda,25,0,3,0,15,0,7,1,151,12.0,60.0
Timor-Leste,24,0,0,0,16,0,8,0,322,0.0,66.7
Botswana,23,0,1,0,8,0,14,0,7675,4.3,34.8
Grenada,21,1,0,0,13,0,8,4,1406,0.0,61.9
